GKZ;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;Hofer;%;Van der Bellen;%
G20608;Gmünd in Kärnten;2.149;1.287;42;1.245;745;59,84;500;40,16
G20609;Greifenburg;1.408;888;51;837;535;63,92;302;36,08
G20610;Heiligenblut am Großglockner;846;496;17;479;338;70,56;141;29,44
G20611;Irschen;1.636;1.050;58;992;558;56,25;434;43,75
G20613;Kleblach-Lind;979;642;38;604;361;59,77;243;40,23
G20616;Lendorf;1.409;887;54;833;530;63,63;303;36,37
G20618;Mallnitz;646;415;36;379;198;52,24;181;47,76
G20619;Malta;1.680;964;36;928;629;67,78;299;32,22
G20620;Millstatt am See;2.710;1.592;50;1.542;861;55,84;681;44,16
G20622;Mörtschach;658;393;4;389;278;71,47;111;28,53
G20624;Mühldorf;810;474;27;447;273;61,07;174;38,93
G20625;Oberdrauburg;968;609;27;582;364;62,54;218;37,46
G20627;Obervellach;1.854;1.106;51;1.055;741;70,24;314;29,76
G20630;Radenthein;4.953;3.004;135;2.869;1.851;64,52;1.018;35,48
G20631;Rangersdorf;1.375;773;25;748;562;75,13;186;24,87
G20632;Rennweg am Katschberg;1.474;978;44;934;630;67,45;304;32,55
G20633;Sachsenburg;1.018;578;23;555;381;68,65;174;31,35
G20634;Seeboden am Millstätter See;5.113;2.911;119;2.792;1.732;62,03;1.060;37,97
G20635;Spittal an der Drau;11.966;7.077;305;6.772;4.056;59,89;2.716;40,11
G20636;Stall;1.334;801;17;784;640;81,63;144;18,37
G20637;Steinfeld;1.681;1.018;68;950;605;63,68;345;36,32
G20638;Trebesing;984;633;38;595;388;65,21;207;34,79
G20639;Weißensee;618;429;20;409;210;51,34;199;48,66
G20640;Winklern;997;552;26;526;355;67,49;171;32,51
G20642;Krems in Kärnten;1.480;852;43;809;645;79,73;164;20,27
G20643;Lurnfeld;2.150;1.262;48;1.214;746;61,45;468;38,55
G20644;Reißeck;1.814;1.171;50;1.121;653;58,25;468;41,75
G20699;Wahlkarten - Spittal an der Drau;0;5.863;167;5.696;2.689;47,21;3.007;52,79
G20700;Villach Land;51.539;36.296;1.579;34.717;20.604;59,35;14.113;40,65
G20701;Afritz am See;1.202;738;28;710;429;60,42;281;39,58
G20702;Arnoldstein;5.262;3.327;149;3.178;2.029;63,85;1.149;36,15
G20703;Arriach;1.159;710;38;672;487;72,47;185;27,53
G20705;Bad Bleiberg;1.902;1.084;40;1.044;580;55,56;464;44,44
G20707;Feistritz an der Gail;512;336;23;313;193;61,66;120;38,34
G20708;Feld am See;931;540;32;508;348;68,5;160;31,5
G20710;Ferndorf;1.805;1.195;43;1.152;711;61,72;441;38,28
G20711;Finkenstein am Faaker See;6.873;4.339;209;4.130;2.407;58,28;1.723;41,72
G20712;Fresach;1.069;764;40;724;480;66,3;244;33,7
G20713;Hohenthurn;653;386;24;362;214;59,12;148;40,88
G20719;Nötsch im Gailtal;1.833;1.212;53;1.159;743;64,11;416;35,89
G20720;Paternion;4.779;2.954;133;2.821;1.834;65,01;987;34,99
G20721;Rosegg;1.466;852;35;817;525;64,26;292;35,74
G20722;St. Jakob im Rosental;3.452;2.026;104;1.922;1.031;53,64;891;46,36
G20723;Stockenboi;1.332;896;42;854;586;68,62;268;31,38
G20724;Treffen am Ossiacher See;3.531;2.046;94;1.952;1.109;56,81;843;43,19
G20725;Velden am Wörther See;6.974;4.148;183;3.965;2.379;60;1.586;40
G20726;Weißenstein;2.477;1.671;83;1.588;914;57,56;674;42,44
G20727;Wernberg;4.327;2.740;107;2.633;1.650;62,67;983;37,33
G20799;Wahlkarten - Villach Land;0;4.332;119;4.213;1.955;46,4;2.258;53,6
G20800;Völkermarkt;33.500;22.968;1.133;21.835;12.498;57,24;9.337;42,76
G20801;Bleiburg;3.050;1.843;93;1.750;976;55,77;774;44,23
G20802;Diex;645;399;29;370;251;67,84;119;32,16
G20803;Eberndorf;4.704;2.754;105;2.649;1.583;59,76;1.066;40,24
G20804;Eisenkappel-Vellach;1.852;1.145;54;1.091;496;45,46;595;54,54
G20805;Feistritz ob Bleiburg;1.683;1.064;57;1.007;568;56,41;439;43,59
G20806;Gallizien;1.438;993;56;937;611;65,21;326;34,79
G20807;Globasnitz;1.309;860;46;814;453;55,65;361;44,35
G20808;Griffen;2.831;1.727;123;1.604;1.117;69,64;487;30,36
G20810;Neuhaus;883;505;30;475;334;70,32;141;29,68
G20812;Ruden;1.249;753;41;712;442;62,08;270;37,92
G20813;St. Kanzian am Klopeiner See;3.429;2.130;100;2.030;1.171;57,68;859;42,32
G20815;Sittersdorf;1.697;1.018;49;969;557;57,48;412;42,52
G20817;Völkermarkt;8.730;5.315;260;5.055;2.957;58,5;2.098;41,5
G20899;Wahlkarten - Völkermarkt;0;2.462;90;2.372;982;41,4;1.390;58,6
G20900;Wolfsberg;43.545;29.667;1.162;28.505;19.270;67,6;9.235;32,4
G20901;Bad St. Leonhard im Lavanttal;3.598;2.259;96;2.163;1.547;71,52;616;28,48
G20905;Frantschach-St. Gertraud;2.131;1.257;52;1.205;855;70,95;350;29,05
G20909;Lavamünd;2.495;1.461;54;1.407;1.006;71,5;401;28,5
G20911;Preitenegg;813;497;22;475;375;78,95;100;21,05
G20912;Reichenfels;1.506;915;57;858;589;68,65;269;31,35
G20913;St. Andrä;8.312;4.941;200;4.741;3.530;74,46;1.211;25,54
G20914;St. Georgen im Lavanttal;1.654;994;37;957;724;75,65;233;24,35
G20918;St. Paul im Lavanttal;2.763;1.681;62;1.619;1.128;69,67;491;30,33
G20923;Wolfsberg;20.273;12.741;493;12.248;8.059;65,8;4.189;34,2
G20999;Wahlkarten - Wolfsberg;0;2.921;89;2.832;1.457;51,45;1.375;48,55
G21000;Feldkirchen;24.162;16.420;710;15.710;10.155;64,64;5.555;35,36
G21001;Albeck;824;491;27;464;342;73,71;122;26,29
G21002;Feldkirchen in Kärnten;11.521;6.779;280;6.499;4.288;65,98;2.211;34,02
G21003;Glanegg;1.567;920;44;876;535;61,07;341;38,93
G21004;Gnesau;825;526;35;491;343;69,86;148;30,14
G21005;Himmelberg;1.878;1.118;63;1.055;773;73,27;282;26,73
G21006;Ossiach;567;400;17;383;243;63,45;140;36,55
G21007;Reichenau;1.503;880;44;836;560;66,99;276;33,01
G21008;St. Urban;1.188;671;22;649;493;75,96;156;24,04
G21009;Steindorf am Ossiacher See;2.957;1.714;65;1.649;1.008;61,13;641;38,87
G21010;Steuerberg;1.332;777;41;736;529;71,88;207;28,13
G21099;Wahlkarten - Feldkirchen;0;2.144;72;2.072;1.041;50,24;1.031;49,76
G2A000;Klagenfurt;120.760;83.080;3.063;80.017;40.714;50,88;39.303;49,12
G2B000;Villach;96.399;67.137;2.647;64.490;36.701;56,91;27.789;43,09
G2C000;Kärnten West;101.160;70.178;3.188;66.990;40.931;61,1;26.059;38,9
G2D000;Kärnten Ost;122.116;83.986;3.620;80.366;51.218;63,73;29.148;36,27
G30000;Niederösterreich;1.283.676;1.017.183;46.518;970.665;511.010;52,65;459.655;47,35
G30099;Wahlkarten - Niederösterreich;0;133.101;4.475;128.626;53.831;41,85;74.795;58,15
G30100;Krems an der Donau(Stadt);18.305;13.919;527;13.392;6.281;46,9;7.111;53,1
G30101;Krems an der Donau;18.305;12.037;475;11.562;5.595;48,39;5.967;51,61
G30199;Wahlkarten - Krems an der Donau(Stadt);0;1.882;52;1.830;686;37,49;1.144;62,51
G30200;Sankt Pölten(Stadt);39.130;29.565;1.092;28.473;12.306;43,22;16.167;56,78
G30201;St. Pölten;39.130;24.751;945;23.806;10.777;45,27;13.029;54,73
G30299;Wahlkarten - Sankt Pölten(Stadt);0;4.814;147;4.667;1.529;32,76;3.138;67,24
G30300;Waidhofen an der Ybbs(Stadt);9.026;7.160;372;6.788;3.134;46,17;3.654;53,83
G30301;Waidhofen an der Ybbs;9.026;6.102;331;5.771;2.804;48,59;2.967;51,41
G30399;Wahlkarten - Waidhofen an der Ybbs(Stadt);0;1.058;41;1.017;330;32,45;687;67,55
G30400;Wiener Neustadt(Stadt);31.107;22.465;627;21.838;10.830;49,59;11.008;50,41
