Bezirks-Nr.;Bezirk;Kanton;t;  FDP;  CVP;  SP;  SVP;  EVP;  CSP;  GLP;  BDP;  PdA;  GPS;  Sol;  SD;  EDU;  Lega;  MCR;  Übrige;wb
2012;Bezirk Frauenfeld;TG;1; 12,5 ; 11,4 ; 15,2 ; 39,5 ; 2,6 ;; 6,9 ; 4,0 ;; 5,3 ;;; 2,4 ;;; 0,2 ;48,3  
2013;Bezirk Kreuzlingen;TG;1; 15,8 ; 12,7 ; 14,0 ; 35,8 ; 1,5 ;; 8,2 ; 3,6 ;; 6,2 ;;; 2,1 ;;; 0,1 ;47,8  
2014;Bezirk Münchwilen;TG;1; 11,2 ; 17,8 ; 9,0 ; 42,9 ; 2,1 ;; 5,4 ; 3,5 ;; 5,3 ;;; 2,6 ;;; 0,1 ;47,0  
2015;Bezirk Weinfelden;TG;1; 11,2 ; 13,1 ; 10,2 ; 42,4 ; 2,8 ;; 5,7 ; 4,2 ;; 4,5 ;;; 5,8 ;;; 0,2 ;47,5  
9200;TG-Ausland-CH;TG;1; 15,9 ; 7,5 ; 17,9 ; 26,1 ; 2,1 ;; 6,8 ; 3,8 ;; 13,1 ;;; 6,3 ;;; 0,6 ;28,5  
2101;Distretto di Bellinzona;TI;1; 29,5 ; 19,5 ; 18,5 ; 8,5 ;;; 0,7 ;; 0,5 ; 3,4 ;;;; 16,9 ;; 2,3 ;61,5  
2102;Distretto di Blenio;TI;1; 22,9 ; 23,1 ; 15,3 ; 10,3 ;;; 0,5 ;; 0,2 ; 2,6 ;;;; 22,0 ;; 2,9 ;50,1  
2103;Distretto di Leventina;TI;1; 23,6 ; 30,8 ; 13,6 ; 8,7 ;;; 0,3 ;; 0,2 ; 1,7 ;;;; 18,8 ;; 2,4 ;60,5  
2104;Distretto di Locarno;TI;1; 24,4 ; 19,1 ; 17,1 ; 14,2 ;;; 1,1 ;; 0,8 ; 3,4 ;;;; 17,0 ;; 2,8 ;49,6  
2105;Distretto di Lugano;TI;1; 22,5 ; 17,6 ; 15,3 ; 12,6 ;;; 1,0 ;; 0,4 ; 3,8 ;;;; 24,5 ;; 2,3 ;52,4  
